qweek,i2_health,i11_health,age,gender,household_size,WCRex2,cantril_ladder,PHQ4_1,PHQ4_2,PHQ4_3,PHQ4_4,WCRex1,r1_1,r1_2,C1M_School closing,C2M_Workplace closing,C3M_Cancel public events,C4M_Restrictions on gatherings,C5M_Close public transport,C6M_Stay at home requirements,C7M_Restrictions on internal movement,C8EV_International travel controls,E1_Income support,E2_Debt/contract relief,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6M_Facial Coverings,H7_Vaccination policy,H8M_Protection of elderly people,ConfirmedCases,ConfirmedDeaths,i9_health_No,i9_health_Not sure,i9_health_Yes,state_Australian Capital Territory,state_New South Wales,state_Northern Territory,state_Queensland,state_South Australia,state_Tasmania,state_Victoria,state_Western Australia,employment_status_Full time employment,employment_status_Not working,employment_status_Part time employment,employment_status_Retired,employment_status_Unemployed,d1_comorbidities_No,d1_comorbidities_Prefer_not_to_say,d1_comorbidities_Yes
37,2.0,1.0,32,0,3,3.0,8.0,3,2,1,2,2.0,6,7,3.0,3.0,2.0,4.0,1.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,3.0,4.0,3.0,9360.0,69.0,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
52,20.0,1.0,75,1,2,4.0,9.0,4,4,4,4,4.0,5,4,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,5.0,1.0,1285301.0,1871.0,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
44,5.0,1.0,31,1,1,3.0,7.0,3,3,4,3,3.0,4,3,1.0,1.0,1.0,3.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,5.0,2.0,76073.0,584.0,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
43,15.0,1.0,65,0,1,3.0,5.0,1,2,3,3,3.0,1,2,3.0,3.0,2.0,4.0,1.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,4.0,5.0,3.0,75340.0,1021.0,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
38,20.0,1.0,67,1,2,4.0,8.0,4,4,4,4,1.0,3,3,3.0,3.0,2.0,4.0,1.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,3.0,4.0,3.0,13092.0,97.0,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
50,4.0,1.0,72,1,1,3.0,9.0,4,4,4,4,3.0,2,6,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,3.0,2.0,2.0,5.0,2.0,994277.0,1139.0,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
40,10.0,1.0,39,0,4,3.0,8.0,3,3,3,3,1.0,7,6,1.0,1.0,1.0,2.0,1.0,0.0,2.0,4.0,1.0,0.0,2.0,2.0,2.0,3.0,5.0,2.0,1992.0,7.0,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
52,1.0,4.0,37,1,1,3.0,3.0,4,3,3,3,2.0,1,7,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,5.0,1.0,1277082.0,1859.0,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
44,3.0,1.0,23,0,3,3.0,5.0,3,3,3,3,3.0,5,5,1.0,1.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,5.0,2.0,77207.0,602.0,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False
37,0.0,1.0,37,1,3,3.0,5.0,1,1,1,1,2.0,7,5,3.0,3.0,2.0,4.0,1.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,3.0,4.0,3.0,9360.0,69.0,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False
